group,treat,edf,Ref.df,F,p-value
DOM,PNW,3.219,3.994,10.050,0.000
SUBDOM,PNW,2.487,3.094,7.276,0.000
MODERATE,PNW,1.100,1.193,2.569,0.121
RARE,PNW,1.000,1.001,0.006,0.938
DOM,PXW,1.000,1.001,43.849,0.000
SUBDOM,PXW,1.000,1.001,22.433,0.000
MODERATE,PXW,1.001,1.002,8.986,0.003
RARE,PXW,1.000,1.001,0.018,0.894
DOM,XNW,5.523,6.663,2.355,0.026
SUBDOM,XNW,1.829,2.280,5.204,0.004
MODERATE,XNW,1.001,1.002,1.974,0.160
RARE,XNW,1.000,1.001,0.193,0.661
DOM,XXW,1.668,2.073,0.754,0.461
SUBDOM,XXW,1.000,1.001,0.413,0.521
MODERATE,XXW,1.000,1.001,2.838,0.092
RARE,XXW,1.000,1.001,0.166,0.684
DOM,XXX,1.004,1.009,6.531,0.010
SUBDOM,XXX,1.000,1.001,8.525,0.004
MODERATE,XXX,1.000,1.001,3.996,0.046
RARE,XXX,1.000,1.001,0.063,0.802
