,Estimate,Std. Error,df,t value,pval,group,treat,Response,SE,code
groupDOM:years:codePNW,2.287,0.109,937.701,20.953,0.000,DOM,codePNW,Sig,0.10915292,PNW
groupSUBDOM:years:codePNW,-1.667,0.109,937.701,-15.270,0.000,SUBDOM,codePNW,Sig,0.10915292,PNW
groupMODERATE:years:codePNW,-0.665,0.109,937.701,-6.096,0.000,MODERATE,codePNW,Sig,0.10915292,PNW
groupRARE:years:codePNW,0.000,0.110,949.356,0.002,0.998,RARE,codePNW,NS,0.109905937,PNW
groupDOM:years:codePXW,1.732,0.109,937.701,15.866,0.000,DOM,codePXW,Sig,0.10915292,PXW
groupSUBDOM:years:codePXW,-1.371,0.109,937.701,-12.563,0.000,SUBDOM,codePXW,Sig,0.10915292,PXW
groupMODERATE:years:codePXW,-0.523,0.109,937.701,-4.790,0.000,MODERATE,codePXW,Sig,0.10915292,PXW
groupRARE:years:codePXW,0.148,0.109,937.701,1.358,0.175,RARE,codePXW,NS,0.10915292,PXW
groupDOM:years:codeXNW,0.872,0.109,937.701,7.985,0.000,DOM,codeXNW,Sig,0.10915292,XNW
groupSUBDOM:years:codeXNW,-1.223,0.109,937.701,-11.201,0.000,SUBDOM,codeXNW,Sig,0.10915292,XNW
groupMODERATE:years:codeXNW,-0.251,0.109,937.701,-2.296,0.022,MODERATE,codeXNW,Sig,0.10915292,XNW
groupRARE:years:codeXNW,0.145,0.109,937.701,1.328,0.185,RARE,codeXNW,NS,0.10915292,XNW
groupDOM:years:codeXXW,-0.751,0.109,937.701,-6.876,0.000,DOM,codeXXW,Sig,0.10915292,XXW
groupSUBDOM:years:codeXXW,0.234,0.109,937.701,2.142,0.032,SUBDOM,codeXXW,Sig,0.10915292,XXW
groupMODERATE:years:codeXXW,-0.062,0.109,937.701,-0.572,0.567,MODERATE,codeXXW,NS,0.10915292,XXW
groupRARE:years:codeXXW,0.330,0.109,937.701,3.020,0.003,RARE,codeXXW,Sig,0.10915292,XXW
groupDOM:years:codeXXX,-0.145,0.109,937.701,-1.327,0.185,DOM,codeXXX,NS,0.10915292,XXX
groupSUBDOM:years:codeXXX,0.017,0.109,937.701,0.155,0.877,SUBDOM,codeXXX,NS,0.10915292,XXX
groupMODERATE:years:codeXXX,-0.287,0.109,937.701,-2.627,0.009,MODERATE,codeXXX,Sig,0.10915292,XXX
groupRARE:years:codeXXX,0.202,0.109,938.910,1.850,0.065,RARE,codeXXX,NS,0.109230985,XXX
